Best Animated Short Film,2,Butterfly (53.85%),The Girl That Cried Pearls (23.08%),Retirement Plan (15.38%),Forevergreen (7.69%),The Three Sisters (0.5%)
Best Live Action Short Film,2,A Friend of Dorothy (61.54%),The People Exchanging Saliva (38.46%),Butcher’s Stain (0.5%),Jane Austen’s Period Drama (0.5%),The Singers (0.5%)
Best Documentary Short,2,All the Empty Rooms (76.92%),Armed Only with a Camera: The Life and Death of Brent Renaud (15.38%),Perfectly a Strangeness (7.69%),Children No More: “Were and Are Gone” (0.5%),The Devil is Busy (0.5%)
Best Documentary Feature,4,The Perfect Neighbor (80.0%),The Alabama Solution (16.7%),Mr. Nobody Against Putin (12.5%),Come See Me in the Good Light (6.7%),Cutting Through Rocks (4.8%)
Best Animated Feature,4,KPop Demon Hunters (90.9%),Zootopia 2 (15.4%),Little Amelie or the Character of Ruin (5.9%),Elio (4.8%),Arco (2.8%)
Best International Feature Film,4,Sentimental Value (60.0%),The Secret Agent (44.4%),It Was Just An Accident (11.1%),The Voice of Hind Rijab (2.4%),Sirât (2.4%)
Best Production Design,3,Frankenstein (90.0%),Sinners (16.7%),Hamnet (5.9%),One Battle After Another (4.8%),Marty Supreme (3.8%)
Best Costume Design,3,Frankenstein (95.2%),Hamnet (9.1%),Sinners (5.9%),Marty Supreme (5.9%),Avatar: Fire and Ash (4.8%)
Best Makeup & Hairstyling,3,Frankenstein (94.7%),Sinners (9.1%),The Smashing Machine (7.7%),The Ugly Stepsister (4.8%),Kokuho (4.8%)
Best Cinematography,3,Sinners (60.0%),Train Dreams (26.7%),One Battle After Another (26.7%),Frankenstein (3.8%),Marty Supreme (3.4%)
Best Film Editing,4,One Battle After Another (67.7%),Marty Supreme (20.0%),Sinners (11.1%),F1: The Movie (11.1%),Sentimental Value (2.8%)
Best Sound,3,F1: The Movie (86.7%),Sinners (16.7%),One Battle After Another (10.0%),Sirât (3.8%),Frankenstein (3.8%)
Best Visual Effects,3,Avatar: Fire and Ash (96.2%),Sinners (7.7%),F1: The Movie (7.7%),The Lost Bus (3.8%),Jurassic World Rebirth (3.8%)
Best Original Score,3,Sinners (96.2%),One Battle After Another (7.7%),Hamnet (5.9%),Frankenstein (5.9%),Bugonia (4.8%)
Best Original Song,3,“Golden” — Kpop Demon Hunters (95.2%),“I Lied to You” – Sinners (9.1%),“Train Dreams”—Train Dreams (6.7%),“Dear Me” – Relentless (5.9%),“Sweet Dreams of Joy” – Viva Verdi (3.8%)
Best Original Screenplay,4,Sinners (78.3%),Marty Supreme (20.0%),It Was Just An Accident (13.3%),Sentimental Value (5.9%),Blue Moon (3.8%)
Best Adapted Screenplay,4,One Battle After Another (95.2%),Hamnet (8.3%),Train Dreams (7.7%),Frankenstein (4.8%),Bugonia (4.8%)
Best Casting,3,Sinners (73.3%),One Battle After Another (28.6%),Hamnet (7.7%),The Secret Agent (5.9%),Marty Supreme (4.8%)
Best Director,6,Paul Thomas Anderson—“One Battle After Another” (94.7%),Ryan Coogler—“Sinners” (11.1%),Chloe Zhao—“Hamnet” (6.7%),Josh Safdie—“Marty Supreme” (3.8%),Joachim Trier—“Sentimental Value” (2.8%)
Best Supporting Actor,5,Stellan Skarsgard—“Sentimental Value” (50.0%),Benicio Del Toro—“One Battle After Another” (29.4%),Sean Penn—“One Battle After Another” (23.3%),Jacob Elordi—“Frankenstein” (14.3%),Delroy Lindo—“Sinners” (3.8%)
Best Supporting Actress,5,Teyana Taylor—“One Battle After Another” (64.9%),Amy Madigan—“Weapons” (38.5%),Inga Ibsdotter Lilleaas—“Sentimental Value” (11.1%),Wunmi Mosaku—“Sinners” (2.8%),Elle Fanning—“Sentimental Value” (2.8%)
Best Actor,7,Timothee Chalamet – “Marty Supreme” (83.3%),Leonardo DiCaprio—“One Battle After Another (15.4%),Wagner Moura—“The Secret Agent” (11.1%),Michael B. Jordan—“Sinners” (5.9%),Ethan Hawke—“Blue Moon” (3.8%)
Best Actress,7,Jessie Buckley—“Hamnet” (94.7%),Rose Byrne—“If I Had Legs I’d Kick You” (10.0%),Renate Reinsve—“Sentimental Value” (5.9%),Emma Stone—“Bugonia” (5.9%),Kate Hudson—“Song Sung Blue” (4.8%)
Best Picture,10,One Battle After Another (85.2%),Sinners (14.3%),Hamnet (9.1%),Marty Supreme (4.8%),The Secret Agent (1.5%),Sentimental Value (1.5%),Bugonia (1.5%),Train Dreams (1.2%),Frankenstein (1.0%),F1: The Movie (1.0%)
Most Oscar Wins,3,Sinners (16 NOMS),One Battle After Another (13 NOMS),Marty Supreme (9 NOMS),Frankenstein (9 NOMS),Sentimental Value (9 NOMS),Hamnet (8 NOMS),Bugonia (4 NOMS),The Secret Agent (4 NOMS),Train Dreams (4 NOMS),F1: The Movie (4 NOMS),Avatar: Fire and Ash (2 NOMS),Blue Moon (2 NOMS),KPop Demon Hunters (2 NOMS),Sirât (2 NOMS),It Was Just An Accident (2 NOMS)
